"MMSI","IMO","SHIP_ID","LAT","LON","SPEED","HEADING","COURSE","STATUS","TIMESTAMP","DSRC","UTC_SECONDS"
316023833,9185188,382914,49.22595,-124.8141,0,23,25,8,2022-02-06 17:05:49,"TER",99
369970147,9349069,457336,47.11095,-130.2488,104,511,229,0,2022-02-06 17:07:31,"SAT",27
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-06 17:05:56,"TER",54
273813300,8607086,351364,41.55667,137.7567,80,511,106,0,2022-02-06 18:05:57,"SAT",98
316023833,9185188,382914,49.22597,-124.8142,0,23,24,8,2022-02-06 18:07:04,"SAT",2
369970147,9349069,457336,46.99166,-130.4383,100,230,226,0,2022-02-06 18:07:41,"SAT",98
316039171,9781839,5837763,48.42125,-123.3875,0,46,46,5,2022-02-06 18:05:56,"TER",55
273813300,8607086,351364,41.50333,137.9467,90,511,114,0,2022-02-06 19:05:49,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,24,25,8,2022-02-06 19:03:50,"TER",99
369970147,9349069,457336,46.87973,-130.6265,100,229,231,0,2022-02-06 19:05:23,"SAT",18
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-06 19:05:57,"TER",55
273813300,8607086,351364,41.465,138.145,90,511,102,0,2022-02-06 20:05:56,"SAT",98
316023833,9185188,382914,49.22592,-124.8141,0,24,24,8,2022-02-06 20:08:04,"TER",3
369970147,9349069,457336,46.85,-130.6717,10,149,87,0,2022-02-06 20:07:42,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 20:05:57,"TER",55
273813300,8607086,351364,41.42833,138.3317,90,511,104,0,2022-02-06 21:02:44,"SAT",98
316023833,9185188,382914,49.22593,-124.8141,0,25,24,8,2022-02-06 21:03:53,"TER",52
369970147,9349069,457336,46.85167,-130.65,0,150,75,0,2022-02-06 21:04:39,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 21:05:55,"TER",54
273813300,8607086,351364,41.38334,138.5317,90,511,104,0,2022-02-06 22:05:47,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,25,24,8,2022-02-06 22:05:08,"SAT",3
369970147,9349069,457336,46.83167,-130.63,10,511,153,0,2022-02-06 22:04:37,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-06 22:02:55,"TER",53
316023833,9185188,382914,49.22593,-124.8141,0,23,24,8,2022-02-06 23:07:05,"SAT",3
369970147,9349069,457336,46.79167,-130.6267,30,511,183,0,2022-02-06 23:07:38,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-06 23:05:56,"TER",52
273813300,8607086,351364,41.28333,138.975,80,511,109,0,2022-02-07 00:26:45,"SAT",98
316023833,9185188,382914,49.22593,-124.8141,0,23,24,8,2022-02-07 00:29:53,"TER",52
369970147,9349069,457336,46.72469,-130.6248,18,511,176,0,2022-02-07 00:29:20,"SAT",19
316039171,9781839,5837763,48.42125,-123.3874,0,46,46,5,2022-02-07 00:29:55,"TER",53
273813300,8607086,351364,41.23,139.2217,80,511,105,0,2022-02-07 01:47:44,"SAT",98
316023833,9185188,382914,49.22592,-124.8141,0,23,24,8,2022-02-07 01:53:04,"TER",3
369970147,9349069,457336,46.84685,-130.7577,79,283,286,0,2022-02-07 01:52:30,"SAT",25
316039171,9781839,5837763,48.42127,-123.3874,0,46,45,5,2022-02-07 01:53:56,"TER",53
273813300,8607086,351364,41.175,139.47,100,511,105,0,2022-02-07 03:05:49,"SAT",98
316023833,9185188,382914,49.22597,-124.8142,0,23,24,8,2022-02-07 03:05:33,"TER",33
369970147,9349069,457336,46.875,-131.015,90,511,270,0,2022-02-07 03:07:38,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 03:05:55,"TER",53
273813300,8607086,351364,41.12833,139.675,90,511,106,0,2022-02-07 04:08:52,"SAT",98
316023833,9185188,382914,49.22597,-124.8141,0,23,24,8,2022-02-07 04:06:13,"TER",13
369970147,9349069,457336,46.88637,-131.2472,93,511,276,0,2022-02-07 04:08:42,"SAT",39
316039171,9781839,5837763,48.42127,-123.3874,0,46,45,5,2022-02-07 04:08:56,"TER",54
273813300,8607086,351364,41.09667,139.8533,90,511,56,0,2022-02-07 05:05:48,"SAT",98
316023833,9185188,382914,49.22595,-124.8142,0,23,25,8,2022-02-07 05:03:52,"TER",99
369970147,9349069,457336,46.89667,-131.4583,80,511,270,0,2022-02-07 05:07:39,"SAT",98
316039171,9781839,5837763,48.42125,-123.3875,0,46,45,5,2022-02-07 05:05:55,"TER",53
273813300,8607086,351364,41.19,140.0433,100,511,55,0,2022-02-07 06:05:47,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,25,24,8,2022-02-07 06:05:04,"TER",3
369970147,9349069,457336,46.89833,-131.6783,80,511,266,0,2022-02-07 06:07:38,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-07 06:05:55,"TER",53
273813300,8607086,351364,41.29264,140.2406,108,55,56,0,2022-02-07 07:07:49,"TER",48
316023833,9185188,382914,49.22597,-124.8141,0,23,24,8,2022-02-07 07:06:24,"TER",23
369970147,9349069,457336,46.9,-131.8983,90,511,270,0,2022-02-07 07:07:38,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 07:05:55,"TER",53
273813300,8607086,351364,41.40641,140.4605,119,63,57,0,2022-02-07 08:10:00,"TER",0
316023833,9185188,382914,49.22593,-124.8141,0,23,25,8,2022-02-07 08:08:52,"TER",99
369970147,9349069,457336,46.90667,-132.1167,60,511,270,0,2022-02-07 08:10:40,"SAT",41
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 08:08:56,"TER",54
273813300,8607086,351364,41.52105,140.6862,117,55,54,0,2022-02-07 09:09:59,"TER",58
316023833,9185188,382914,49.22588,-124.8141,0,23,24,8,2022-02-07 09:06:04,"TER",2
369970147,9349069,457336,46.91333,-132.2967,70,273,273,0,2022-02-07 09:07:38,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 09:08:56,"TER",54
273813300,8607086,351364,41.62163,140.8957,123,91,85,0,2022-02-07 10:08:10,"TER",9
316023833,9185188,382914,49.22597,-124.8141,0,23,24,8,2022-02-07 10:07:24,"TER",22
369970147,9349069,457336,46.91941,-132.4771,68,272,272,0,2022-02-07 10:07:35,"SAT",28
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 10:05:56,"TER",54
273813300,8607086,351364,41.62523,141.1531,103,89,86,0,2022-02-07 11:06:10,"TER",8
316023833,9185188,382914,49.22597,-124.8141,0,23,24,8,2022-02-07 11:06:04,"TER",3
369970147,9349069,457336,46.92333,-132.64,60,511,269,0,2022-02-07 11:01:38,"SAT",98
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 11:05:55,"TER",53
273813300,8607086,351364,41.62833,141.3933,90,511,88,0,2022-02-07 12:11:44,"SAT",98
316023833,9185188,382914,49.22595,-124.8141,0,24,24,8,2022-02-07 12:12:24,"TER",23
369970147,9349069,457336,46.93219,-132.8527,70,275,275,0,2022-02-07 12:13:23,"SAT",18
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 12:11:56,"TER",54
273813300,8607086,351364,41.62333,141.6133,110,511,92,0,2022-02-07 13:05:48,"SAT",98
316023833,9185188,382914,49.22598,-124.8141,0,25,24,8,2022-02-07 13:11:04,"TER",3
369970147,9349069,457336,46.93778,-133.0264,71,276,275,0,2022-02-07 13:11:09,"SAT",4
316039171,9781839,5837763,48.42127,-123.3875,0,46,46,5,2022-02-07 13:11:57,"TER",55
273813300,8607086,351364,41.62167,141.8183,90,511,88,0,2022-02-07 14:02:47,"SAT",98
316023833,9185188,382914,49.22593,-124.8141,0,23,25,8,2022-02-07 14:02:53,"TER",99
369970147,9349069,457336,46.94233,-133.1942,69,511,274,0,2022-02-07 14:05:41,"SAT",32
316039171,9781839,5837763,48.42127,-123.3874,0,46,45,5,2022-02-07 14:05:55,"TER",54
273813300,8607086,351364,41.61833,142.0133,90,511,89,0,2022-02-07 14:59:46,"SAT",98
316023833,9185188,382914,49.22597,-124.8142,0,24,24,8,2022-02-07 15:07:23,"TER",22
369970147,9349069,457336,46.94895,-133.3871,79,271,271,0,2022-02-07 15:07:34,"SAT",32
316039171,9781839,5837763,48.42127,-123.3875,0,46,45,5,2022-02-07 15:05:56,"TER",54
273813300,8607086,351364,41.62167,142.2483,90,511,90,0,2022-02-07 16:08:46,"SAT",98
